Timestep,l_0.0001,l_0.001,l_0.01,l_0.05
289,-1059.736959,-613.470722,-479.8841092,-1054.752166
290,-1051.242184,-1166.089205,-462.0369283,-1062.611574
291,-1050.333353,-1151.589838,-646.8247538,-1058.699659
292,-1059.018412,-1039.610869,-1044.638879,-1191.252407
293,-1053.458773,-1026.575227,-1052.557016,-457.8983027
294,-1067.890868,-1003.719784,-1067.603358,-448.8754267
295,-1041.128902,-1027.316916,-877.3955092,-448.8754231
296,-1170.433175,-1021.794021,-877.3002152,-477.6271234
297,-1212.954226,-1016.825122,-880.5065605,-471.7708152
298,-1186.177853,-557.2962705,-760.5353399,-469.1116923
299,-1182.177838,-429.3616508,-750.0924397,-452.0490971
300,-1181.749499,-446.7181536,-736.1357296,-449.0359184
301,-1203.19013,-416.7183453,-740.273879,-452.9834586
302,-1189.311539,-442.9026728,-775.6462031,-861.7228428
303,-1189.794001,-1170.672051,-749.6456053,-286.4106548
304,-1191.982394,-1162.219704,-749.5931791,-297.6561058
305,-194.3377167,-1183.915391,-755.7412021,-284.4736107
